code,start_stamp
GASS,1128571200.0
GBCI,448779600.0
GBDC,1271304000.0
GBIM,1404273600.0
GBLI,1071550800.0
GBNK,1128312000.0
GBSN,1412827200.0
GCBC,930715200.0
GCVRZ,1301544000.0
GENC,1058241600.0
GENE,1125979200.0
GEOS,880088400.0
GERN,838785600.0
GEVO,1297227600.0
GFED,797486400.0
GFN,1152158400.0
GFNCP,1369022400.0
GGACU,-441831600.0
GGAL,964497600.0
GHDX,1127966400.0
GIFI,860130000.0
GIGA,638600400.0
GIGM,950850000.0
GIII,629614800.0
GLAD,1028260800.0
GLBS,1205208000.0
GLBZ,942210000.0
GLDD,1167195600.0
GLDI,1511931600.0
GLMD,1394683200.0
GLNG,1058241600.0
GLPI,1381723200.0
GLRE,1179979200.0
GLRI,1350446400.0
GLUU,1174536000.0
GLYC,1389330000.0
GMLP,1302235200.0
GNBC,1407470400.0
GNCA,1391576400.0
GNCMA,588225600.0
GNMA,1329800400.0
GNMK,1275019200.0
GNTX,377845200.0
GOGO,1371787200.0
GOLD,1028001600.0
GOOD,1060833600.0
GOODO,1512709200.0
GOODP,1157601600.0
GOOG,1092888000.0
GOOGL,1092888000.0
GPIC,764917200.0
GPOR,920437200.0
GPRE,1142398800.0
GPRO,1403755200.0
GRID,1258434000.0
GRIF,866606400.0
GRMN,976251600.0
GROW,833774400.0
GRPN,1320379200.0
GRVY,1107838800.0
GSBC,629701200.0
GSIT,1175140800.0
GSM,1248926400.0
GSOL,-441831600.0
GSVC,1303963200.0
GT,104400.0
GTIM,808718400.0
GTLS,1153886400.0
GTWN,-441831600.0
GTXI,1075784400.0
GUID,-441831600.0
GULF,1216180800.0
GULTU,1370318400.0
GURE,1161576000.0
GWGH,1411617600.0
GWPH,1367380800.0
GYRO,808718400.0
HA,803707200.0
HABT,1416459600.0
HAFC,765604800.0
HAIN,759042000.0
HALL,622094400.0
HAS,322117200.0
HAWK,1366344000.0
HAYN,1174449600.0
HBAN,322117200.0
HBANP,1208404800.0
HBCP,1223438400.0
HBHC,676008000.0
HBIO,984978000.0
HBK,1349841600.0
HBMD,1191902400.0
HBNC,1010552400.0
HBP,1231131600.0
HCAC,1501560000.0
HCACU,-441831600.0
HCAP,1367553600.0
HCCI,1205294400.0
HCKT,896328000.0
HCOM,1296018000.0
HCSG,438930000.0
HDNG,801374400.0
HDP,1414468800.0
HDS,1372305600.0
HDSN,783752400.0
HEAR,1289797200.0
HEES,1138683600.0
HELE,322203600.0
HERO,-441831600.0
HFBC,887000400.0
HFBL,1182312000.0
HIBB,845006400.0
HIFS,598078800.0
HIHO,850280400.0
HIIQ,1360299600.0
HILL,-441831600.0
HIMX,1143781200.0
HLIT,801201600.0
HMHC,1384405200.0
HMNF,772948800.0
HMNY,871012800.0
HMST,1328850000.0
HMSY,724654800.0
HMTV,1365134400.0
HNNA,1110344400.0
HNRG,853736400.0
HOFT,1025150400.0
HOLI,1125460800.0
HOLX,636267600.0
HOMB,1151035200.0
HOTR,1162270800.0
HOVNP,1133326800.0
HPJ,1213848000.0
HQY,1406779200.0
HRTX,557035200.0
HRZN,1288324800.0
HSGX,1417582800.0
HSIC,815374800.0
HSII,925185600.0
HSKA,867729600.0
ARUN,-441831600.0
ASPX,-441831600.0
BYLK,-441831600.0
CALL,823669200.0
CDTI,819954000.0
CDW,1372305600.0
CHCI,1103000400.0
CHCO,551678400.0
CIFC,-441831600.0
CIZ,1412136000.0
CIZN,940305600.0
CLBH,-441831600.0
CNDO,-441831600.0
CNET,1250222400.0
CNIT,1158897600.0
CPLA,1163134800.0
CPLP,1175227200.0
CSCO,635144400.0
CSF,946875600.0
CUBA,770011200.0
CUI,937368000.0
CZFC,922770000.0
CZNC,833428800.0
DLBL,1281412800.0
DLBS,1281412800.0
DWSN,638427600.0
DXCM,1113451200.0
EEML,1326949200.0
EFII,717998400.0
ETFC,840168000.0
ETRM,1195102800.0
FBIZ,1131512400.0
FFWM,1414990800.0
FGEN,1415941200.0
FOMX,1411012800.0
FONE,1298005200.0
FSLR,1163739600.0
FSNN,1109307600.0
GAIA,941169600.0
GAIN,1119499200.0
GILD,696056400.0
GILT,733122000.0
GRBK,1182312000.0
GRFS,1306987200.0
HALO,1079413200.0
HFWA,894513600.0
HGSH,1206331200.0
HSNI,1218513600.0
HSON,1047963600.0
HSTM,955425600.0
HTBI,1341979200.0
HTBK,900907200.0
HTBX,1374638400.0
HTHT,1269576000.0
HTLD,531550800.0
HTLF,915426000.0
HUBG,826693200.0
HURC,336196800.0
HURN,1097640000.0
HWBK,932443200.0
HWCC,1150344000.0
HWKN,322203600.0
HYGS,973054800.0
HYLS,1361941200.0
HYND,1387342800.0
HYZD,1387342800.0
HZNP,1311825600.0
IBCP,1265086800.0
IBKC,797227200.0
IBKR,1178251200.0
IBOC,809755200.0
IBTX,1365048000.0
ICAD,700808400.0
ICBK,1421384400.0
ICCC,805348800.0
ICFI,1159416000.0
ICLD,1358139600.0
ICLDW,1388638800.0
ICLN,1214366400.0
ICLR,895204800.0
ICON,632984400.0
ICPT,1349928000.0
ICUI,702018000.0
IDCC,374389200.0
IDRA,822546000.0
IDSA,833428800.0
IDSY,930715200.0
IDTI,445842000.0
IDXX,677476800.0
IEP,554011200.0
IESC,885963600.0
IFEU,1198731600.0
IFGL,1198731600.0
IFNA,1198731600.0
IFON,1087444800.0
IFV,1184904000.0
IGLD,933912000.0
IGOV,1233291600.0
III,1171256400.0
IIIN,700808400.0
IIJI,933739200.0
IIN,322117200.0
IIVI,560145600.0
IKNX,1512709200.0
ILMN,964756800.0
IMDZ,1406174400.0
IMGN,627282000.0
IMI,1321592400.0
IMKTA,559281600.0
IMMR,942382800.0
IMMU,450594000.0
IMOS,1057204800.0
INAP,938577600.0
INBK,1144209600.0
INCR,1415336400.0
INCY,752389200.0
INDB,516427200.0
INDY,1258693200.0
INFI,964756800.0
INFN,1181188800.0
INGN,1392354000.0
INO,913093200.0
INOD,744955200.0
INSM,959832000.0
INSY,955684800.0
INTG,808718400.0
INTL,794466000.0
INTU,731912400.0
INTX,1083297600.0
INVE,876196800.0
INVT,949640400.0
INWK,1155700800.0
IOSP,895032000.0
IPAR,570949200.0
IPAS,1064808000.0
IPCC,1045026000.0
IPCI,1256529600.0
IPHS,1162443600.0
IPKW,1393477200.0
IPWR,1385096400.0
IPXL,819349200.0
IRBT,1131512400.0
IRDM,1205985600.0
IRDMB,1400212800.0
IRIX,824446800.0
IRMD,1405483200.0
IROQ,1512709200.0
IRWD,1265173200.0
ISBC,1129089600.0
ISCA,847170000.0
ISHG,1233118800.0
ISIG,732430800.0
ISM,1140066000.0
ISNS,799646400.0
ISRG,961128000.0
ISRL,808718400.0
ISSC,965361600.0
ISTR,1404187200.0
ITCI,1389070800.0
ITIC,533970000.0
ITRI,752475600.0
ITRN,1127880000.0
IVAC,816930000.0
IXYS,906609600.0
JACK,699771600.0
JAKK,831009600.0
JASN,1382068800.0
JASO,1170824400.0
JAZZ,1180670400.0
JBHT,438325200.0
JBLU,1018584000.0
JCOM,932702400.0
JCS,374907600.0
JCTCF,829281600.0
JD,1400731200.0
JJSF,507877200.0
JKHY,501310800.0
JMBA,1122523200.0
JOBS,1096430400.0
JOUT,560750400.0
JRJC,1097812800.0
JRVR,1418360400.0
JSM,1072760400.0
JTPY,1336708800.0
JUNO,1418965200.0
JVA,1115092800.0
JXSB,798696000.0
JYNT,1415682000.0
KBAL,322117200.0
KBSF,1362632400.0
KCAP,1165899600.0
KCLI,358056000.0
KE,1406001600.0
KELYB,460353600.0
KEQU,322117200.0
KERX,964756800.0
KEYW,1285905600.0
KFFB,1109826000.0
KFRC,808459200.0
KGJI,957499200.0
KIN,1386824400.0
KINS,940910400.0
KIRK,1028001600.0
KITE,-441831600.0
KLAC,339825600.0
KLIC,322117200.0
KLXI,1417669200.0
KMDA,1369972800.0
KNDI,1188878400.0
KONA,1124164800.0
KONE,1274068800.0
KOOL,808718400.0
KOPN,703310400.0
KRFT,-441831600.0
KRNY,1109221200.0
KTCC,425102400.0
KTEC,743400000.0
KTOS,941778000.0
KTWO,1399521600.0
KVHI,828421200.0
KWEB,1375329600.0
LABC,-441831600.0
LABL,557035200.0
LAKE,526622400.0
LALT,1401336000.0
LAMR,838958400.0
LANC,322117200.0
LAND,1359435600.0
LARK,764830800.0
LAWS,322117200.0
